fips,id,fid,aez
1029,0,35471,12
1031,1,35471,12
1037,2,35471,12
1039,3,35471,12
1041,4,35471,12
1045,5,35471,12
1049,6,35471,12
1053,7,35471,12
1057,8,35471,12
1061,9,35471,12
1067,10,35471,12
1075,11,35471,12
1077,12,35471,12
1079,13,35471,12
1001,14,35471,12
1003,15,35471,12
1005,16,35471,12
1007,17,35471,12
1009,18,35471,12
1011,19,35471,12
1023,20,35471,12
1025,21,35471,12
1027,22,35471,12
1033,23,35471,12
1035,24,35471,12
1043,25,35471,12
1047,26,35471,12
1051,27,35471,12
1055,28,35471,12
1059,29,35471,12
1063,30,35471,12
1065,31,35471,12
1071,32,35471,12
1073,33,35471,12
1085,34,35471,12
1087,35,35471,12
1089,36,35471,12
1091,37,35471,12
1095,38,NA,NA
1097,39,35471,12
1099,40,35471,12
1107,41,35471,12
1109,42,35471,12
1113,43,35471,12
1115,44,35471,12
1117,45,35471,12
1119,46,35471,12
1121,47,35471,12
1129,48,35471,12
1131,49,35471,12
1013,50,35471,12
1015,51,35471,12
1017,52,35471,12
1019,53,NA,NA
1021,54,35471,12
1123,55,35471,12
1125,56,35471,12
1127,57,35471,12
1133,58,35471,12
1101,59,35471,12
1069,60,35471,12
1081,61,35471,12
1083,62,35471,12
1093,63,35471,12
1103,64,35471,12
1105,65,35471,12
1111,66,35471,12
4001,67,52705,7
4003,68,52705,7
4005,69,34227,8
4007,70,34227,8
4009,71,52705,7
4011,72,34227,8
4012,73,52705,7
4013,74,52705,7
4015,75,52705,7
4017,76,52705,7
4019,77,52705,7
4021,78,52705,7
4023,79,52705,7
4025,80,34227,8
4027,81,52705,7
5049,82,20325,10
5051,83,32217,11
5053,84,32217,11
5055,85,32217,11
5059,86,35471,12
5065,87,20325,10
5071,88,32217,11
5075,89,32217,11
5077,90,32217,11
5001,91,32217,11
5003,92,35471,12
5005,93,20325,10
5007,94,32217,11
5011,95,35471,12
5013,96,35471,12
5017,97,35471,12
5019,98,35471,12
5021,99,20325,10
5029,100,32217,11
5037,101,32217,11
5039,102,35471,12
5041,103,32217,11
5045,104,32217,11
5057,105,35471,12
5061,106,35471,12
5063,107,32217,11
5067,108,32217,11
5069,109,32217,11
5073,110,35471,12
5081,111,35471,12
5085,112,32217,11
5091,113,35471,12
5093,114,32217,11
5095,115,32217,11
5097,116,32217,11
5099,117,35471,12
5103,118,35471,12
5107,119,32217,11
5109,120,35471,12
5117,121,32217,11
5121,122,20325,10
5131,123,32217,11
5133,124,35471,12
5139,125,35471,12
5145,126,32217,11
5147,127,32217,11
5009,128,20325,10
5015,129,32217,11
5023,130,32217,11
5025,131,35471,12
5027,132,35471,12
5031,133,32217,11
5033,134,32217,11
5035,135,32217,11
5043,136,35471,12
5047,137,32217,11
5143,138,32217,11
5149,139,32217,11
5079,140,32217,11
5083,141,32217,11
5087,142,32217,11
5089,143,20325,10
5101,144,32217,11
5105,145,32217,11
5111,146,32217,11
5113,147,32217,11
5115,148,32217,11
5119,149,32217,11
5123,150,32217,11
5125,151,32217,11
5127,152,32217,11
5129,153,32217,11
5135,154,20325,10
5137,155,32217,11
5141,156,32217,11
6035,157,52705,7
6049,158,34227,8
6075,159,20325,10
6083,160,23449,9
6091,161,34227,8
6095,162,23449,9
6101,163,20325,10
6105,164,34227,8
6111,165,23449,9
6115,166,20325,10
6033,167,23449,9
6071,168,52705,7
6087,169,20325,10
6001,170,23449,9
6003,171,52705,7
6005,172,23449,9
6007,173,20325,10
6009,174,20325,10
6011,175,23449,9
6013,176,23449,9
6015,177,32217,11
6017,178,23449,9
6019,179,23449,9
6021,180,20325,10
6023,181,20325,10
6025,182,52705,7
6027,183,52705,7
6029,184,34227,8
6031,185,34227,8
6037,186,23449,9
6039,187,20325,10
6041,188,20325,10
6043,189,23449,9
6045,190,20325,10
6047,191,23449,9
6051,192,52705,7
6053,193,23449,9
6055,194,20325,10
6057,195,34227,8
6059,196,23449,9
6061,197,20325,10
6063,198,34227,8
6065,199,52705,7
6067,200,23449,9
6069,201,23449,9
6073,202,23449,9
6077,203,23449,9
6079,204,23449,9
6081,205,20325,10
6085,206,23449,9
6089,207,23449,9
6093,208,23449,9
6097,209,20325,10
6099,210,23449,9
6103,211,20325,10
6107,212,23449,9
6109,213,34227,8
6113,214,23449,9
8053,215,34227,8
8061,216,34227,8
8063,217,34227,8
8071,218,34227,8
8073,219,34227,8
8075,220,34227,8
8079,221,34227,8
8085,222,34227,8
8087,223,34227,8
8089,224,52705,7
8095,225,34227,8
8099,226,52705,7
8101,227,34227,8
8103,228,34227,8
8105,229,34227,8
8001,230,34227,8
8003,231,52705,7
8005,232,34227,8
8007,233,34227,8
8009,234,52705,7
8011,235,52705,7
8013,236,34227,8
8015,237,34227,8
8019,238,34227,8
8023,239,34227,8
8027,240,34227,8
8029,241,34227,8
8031,242,34227,8
8035,243,34227,8
8037,244,1215,14
8049,245,1215,14
8051,246,1215,14
8055,247,34227,8
8057,248,1215,14
8059,249,34227,8
8065,250,34227,8
8067,251,34227,8
8069,252,34227,8
8077,253,34227,8
8081,254,34227,8
8083,255,34227,8
8091,256,34227,8
8093,257,34227,8
8097,258,34227,8
8107,259,34227,8
8109,260,52705,7
8111,261,52705,7
8113,262,34227,8
8117,263,34227,8
8014,264,34227,8
8017,265,34227,8
8021,266,34227,8
8025,267,52705,7
8033,268,34227,8
8039,269,34227,8
8041,270,34227,8
8043,271,34227,8
8045,272,34227,8
8047,273,34227,8
8115,274,34227,8
8119,275,34227,8
8121,276,34227,8
8123,277,34227,8
8125,278,34227,8
9001,279,20325,10
9003,280,20325,10
9005,281,20325,10
9007,282,20325,10
9009,283,20325,10
9011,284,20325,10
9013,285,20325,10
9015,286,20325,10
10001,287,32217,11
10003,288,32217,11
10005,289,32217,11
11001,290,NA,NA
12013,291,35471,12
12015,292,20325,10
12019,293,35471,12
12021,294,20325,10
12027,295,20325,10
12035,296,35471,12
12067,297,35471,12
12081,298,32217,11
12085,299,32217,11
12087,300,110549,4
12091,301,35471,12
12099,302,32217,11
12105,303,32217,11
12107,304,35471,12
12109,305,35471,12
12111,306,32217,11
12043,307,20325,10
12049,308,32217,11
12051,309,20325,10
12053,310,35471,12
12059,311,35471,12
12061,312,32217,11
12001,313,35471,12
12003,314,35471,12
12005,315,35471,12
12007,316,35471,12
12009,317,35471,12
12011,318,109218,5
12029,319,35471,12
12031,320,35471,12
12033,321,35471,12
12037,322,35471,12
12039,323,35471,12
12041,324,35471,12
12045,325,35471,12
12047,326,35471,12
12055,327,20325,10
12057,328,35471,12
12063,329,35471,12
12065,330,35471,12
12069,331,35471,12
12071,332,20325,10
12073,333,35471,12
12077,334,35471,12
12079,335,35471,12
12083,336,35471,12
12086,337,109218,5
12089,338,35471,12
12093,339,32217,11
12095,340,35471,12
12097,341,35471,12
12101,342,35471,12
12103,343,NA,NA
12113,344,35471,12
12117,345,35471,12
12119,346,35471,12
12121,347,35471,12
12123,348,35471,12
12125,349,35471,12
12129,350,35471,12
12133,351,35471,12
12115,352,32217,11
12131,353,35471,12
12017,354,35471,12
12075,355,35471,12
12127,356,35471,12
12023,357,35471,12
13057,358,35471,12
13059,359,35471,12
13061,360,35471,12
13063,361,35471,12
13065,362,35471,12
13001,363,35471,12
13007,364,35471,12
13009,365,35471,12
13013,366,35471,12
13015,367,35471,12
13019,368,35471,12
13021,369,35471,12
13025,370,35471,12
13027,371,35471,12
13029,372,35471,12
13033,373,35471,12
13039,374,35471,12
13049,375,35471,12
13051,376,35471,12
13075,377,35471,12
13079,378,35471,12
13081,379,35471,12
13089,380,35471,12
13103,381,35471,12
13105,382,35471,12
13107,383,35471,12
13113,384,35471,12
13121,385,35471,12
13127,386,35471,12
13131,387,35471,12
13135,388,35471,12
13137,389,35471,12
13141,390,35471,12
13149,391,35471,12
13151,392,35471,12
13163,393,35471,12
13171,394,35471,12
13179,395,35471,12
13183,396,35471,12
13185,397,35471,12
13189,398,35471,12
13191,399,35471,12
13195,400,35471,12
13201,401,35471,12
13213,402,35471,12
13217,403,35471,12
13219,404,35471,12
13221,405,35471,12
